lineup_type,lambda,selfish_agent,game_idx,seed,turn_order,agent,expected_production,final_vp,total_resources_in_hand,prod_gini_game
CONVEX,0.0,GREEDY,70,71,1,R,0.583333,2,9,0.195402
CONVEX,0.0,GREEDY,70,71,2,GREEDY,0.75,4,25,0.195402
CONVEX,0.0,GREEDY,71,72,0,CONVEX,0.611111,10,12,0.128655
CONVEX,0.0,GREEDY,71,72,1,R,0.638889,9,34,0.128655
CONVEX,0.0,GREEDY,71,72,2,GREEDY,0.333333,6,6,0.128655
CONVEX,0.0,GREEDY,72,73,0,CONVEX,0.444444,6,5,0.131148
CONVEX,0.0,GREEDY,72,73,1,R,0.472222,2,5,0.131148
CONVEX,0.0,GREEDY,72,73,2,GREEDY,0.777778,10,5,0.131148
CONVEX,0.0,GREEDY,73,74,0,CONVEX,0.694444,2,11,0.11828
CONVEX,0.0,GREEDY,73,74,1,R,0.638889,6,24,0.11828
CONVEX,0.0,GREEDY,73,74,2,GREEDY,0.388889,10,0,0.11828
CONVEX,0.0,GREEDY,74,75,0,CONVEX,0.388889,5,3,0.116402
CONVEX,0.0,GREEDY,74,75,1,R,0.694444,4,29,0.116402
CONVEX,0.0,GREEDY,74,75,2,GREEDY,0.666667,10,21,0.116402
CONVEX,0.0,GREEDY,75,76,0,CONVEX,0.277778,2,3,0.175439
CONVEX,0.0,GREEDY,75,76,1,R,0.694444,10,11,0.175439
CONVEX,0.0,GREEDY,75,76,2,GREEDY,0.611111,2,9,0.175439
CONVEX,0.0,GREEDY,76,77,0,CONVEX,0.388889,10,2,0.1
CONVEX,0.0,GREEDY,76,77,1,R,0.638889,5,16,0.1
CONVEX,0.0,GREEDY,76,77,2,GREEDY,0.638889,9,26,0.1
CONVEX,0.0,GREEDY,77,78,0,CONVEX,0.527778,7,6,0.209877
CONVEX,0.0,GREEDY,77,78,1,R,0.722222,9,6,0.209877
CONVEX,0.0,GREEDY,77,78,2,GREEDY,0.25,8,8,0.209877
CONVEX,0.0,GREEDY,78,79,0,CONVEX,0.666667,4,18,0.129353
CONVEX,0.0,GREEDY,78,79,1,R,0.416667,2,2,0.129353
CONVEX,0.0,GREEDY,78,79,2,GREEDY,0.777778,10,17,0.129353
CONVEX,0.0,GREEDY,79,80,0,CONVEX,0.388889,2,3,0.116402
CONVEX,0.0,GREEDY,79,80,1,R,0.694444,10,22,0.116402
CONVEX,0.0,GREEDY,79,80,2,GREEDY,0.666667,6,24,0.116402
CONVEX,0.0,GREEDY,80,81,0,CONVEX,0.666667,3,17,0.163743
CONVEX,0.0,GREEDY,80,81,1,R,0.277778,6,4,0.163743
CONVEX,0.0,GREEDY,80,81,2,GREEDY,0.638889,10,35,0.163743
CONVEX,0.0,GREEDY,81,82,0,CONVEX,0.611111,5,10,0.133333
CONVEX,0.0,GREEDY,81,82,1,R,0.361111,10,6,0.133333
CONVEX,0.0,GREEDY,81,82,2,GREEDY,0.694444,4,26,0.133333
CONVEX,0.0,GREEDY,82,83,0,CONVEX,0.25,10,2,0.163522
CONVEX,0.0,GREEDY,82,83,1,R,0.611111,8,12,0.163522
CONVEX,0.0,GREEDY,82,83,2,GREEDY,0.611111,4,8,0.163522
CONVEX,0.0,GREEDY,83,84,0,CONVEX,0.638889,4,4,0.112994
CONVEX,0.0,GREEDY,83,84,1,R,0.361111,10,2,0.112994
CONVEX,0.0,GREEDY,83,84,2,GREEDY,0.638889,4,4,0.112994
CONVEX,0.0,GREEDY,84,85,0,CONVEX,0.583333,10,4,0.202381
CONVEX,0.0,GREEDY,84,85,1,R,0.722222,5,18,0.202381
CONVEX,0.0,GREEDY,84,85,2,GREEDY,0.25,5,5,0.202381
CONVEX,0.0,GREEDY,85,86,0,CONVEX,0.611111,10,16,0.230769
CONVEX,0.0,GREEDY,85,86,1,R,0.166667,6,4,0.230769
CONVEX,0.0,GREEDY,85,86,2,GREEDY,0.666667,2,10,0.230769
CONVEX,0.0,GREEDY,86,87,0,CONVEX,0.555556,9,8,0.125
CONVEX,0.0,GREEDY,86,87,1,R,0.777778,4,15,0.125
CONVEX,0.0,GREEDY,86,87,2,GREEDY,0.444444,11,4,0.125
CONVEX,0.0,GREEDY,87,88,0,CONVEX,0.166667,2,6,0.217949
CONVEX,0.0,GREEDY,87,88,1,R,0.638889,10,17,0.217949
CONVEX,0.0,GREEDY,87,88,2,GREEDY,0.638889,2,7,0.217949
CONVEX,0.0,GREEDY,88,89,0,CONVEX,0.694444,10,19,0.174863
CONVEX,0.0,GREEDY,88,89,1,R,0.277778,4,8,0.174863
CONVEX,0.0,GREEDY,88,89,2,GREEDY,0.722222,2,8,0.174863
CONVEX,0.0,GREEDY,89,90,0,CONVEX,0.666667,4,17,0.275862
CONVEX,0.0,GREEDY,89,90,1,R,0.805556,4,25,0.275862
CONVEX,0.0,GREEDY,89,90,2,GREEDY,0.138889,10,1,0.275862
CONVEX,0.0,GREEDY,90,91,0,CONVEX,0.694444,4,9,0.22619
CONVEX,0.0,GREEDY,90,91,1,R,0.694444,4,9,0.22619
CONVEX,0.0,GREEDY,90,91,2,GREEDY,0.166667,10,0,0.22619
CONVEX,0.0,GREEDY,91,92,0,CONVEX,0.472222,4,4,0.063492
CONVEX,0.0,GREEDY,91,92,1,R,0.638889,3,8,0.063492
CONVEX,0.0,GREEDY,91,92,2,GREEDY,0.638889,10,15,0.063492
CONVEX,0.0,GREEDY,92,93,0,CONVEX,0.444444,4,8,0.076503
CONVEX,0.0,GREEDY,92,93,1,R,0.638889,2,15,0.076503
CONVEX,0.0,GREEDY,92,93,2,GREEDY,0.611111,11,24,0.076503
CONVEX,0.0,GREEDY,93,94,0,CONVEX,0.666667,10,12,0.154762
CONVEX,0.0,GREEDY,93,94,1,R,0.583333,5,19,0.154762
CONVEX,0.0,GREEDY,93,94,2,GREEDY,0.305556,4,4,0.154762
CONVEX,0.0,GREEDY,94,95,0,CONVEX,0.583333,10,4,0.057471
CONVEX,0.0,GREEDY,94,95,1,R,0.583333,5,10,0.057471
CONVEX,0.0,GREEDY,94,95,2,GREEDY,0.444444,7,4,0.057471
CONVEX,0.0,GREEDY,95,96,0,CONVEX,0.527778,9,4,0.061538
CONVEX,0.0,GREEDY,95,96,1,R,0.694444,3,27,0.061538
CONVEX,0.0,GREEDY,95,96,2,GREEDY,0.583333,10,13,0.061538
CONVEX,0.0,GREEDY,96,97,0,CONVEX,0.611111,2,3,0.128655
CONVEX,0.0,GREEDY,96,97,1,R,0.333333,10,0,0.128655
CONVEX,0.0,GREEDY,96,97,2,GREEDY,0.638889,9,5,0.128655
CONVEX,0.0,GREEDY,97,98,0,CONVEX,0.277778,10,3,0.190476
CONVEX,0.0,GREEDY,97,98,1,R,0.555556,2,7,0.190476
CONVEX,0.0,GREEDY,97,98,2,GREEDY,0.722222,6,17,0.190476
CONVEX,0.0,GREEDY,98,99,0,CONVEX,0.5,10,5,0.05291
CONVEX,0.0,GREEDY,98,99,1,R,0.611111,5,6,0.05291
CONVEX,0.0,GREEDY,98,99,2,GREEDY,0.638889,6,10,0.05291
CONVEX,0.0,GREEDY,99,100,0,CONVEX,0.638889,4,17,0.149425
