lineup_type,lambda,selfish_agent,game_idx,seed,prod_gini,prod_min,prod_max,prod_range,winner_agent,num_turns
CONVEX,0.0,AB,48,49,0.150943,0.277778,0.611111,0.333333,AB,54
CONVEX,0.0,AB,49,50,0.056497,0.472222,0.611111,0.138889,R,77
CONVEX,0.0,AB,50,51,0.185792,0.25,0.722222,0.472222,R,89
CONVEX,0.0,AB,51,52,0.169492,0.277778,0.694444,0.416667,AB,87
CONVEX,0.0,AB,52,53,0.2,0.194444,0.611111,0.416667,CONVEX,55
CONVEX,0.0,AB,53,54,0.129032,0.361111,0.694444,0.333333,AB,69
CONVEX,0.0,AB,54,55,0.130952,0.333333,0.638889,0.305556,R,89
CONVEX,0.0,AB,55,56,0.154762,0.305556,0.666667,0.361111,CONVEX,64
CONVEX,0.0,AB,56,57,0.046784,0.472222,0.583333,0.111111,AB,87
CONVEX,0.0,AB,57,58,0.246377,0.111111,0.583333,0.472222,CONVEX,82
CONVEX,0.0,AB,58,59,0.119048,0.361111,0.638889,0.277778,R,95
CONVEX,0.0,AB,59,60,0.27451,0.111111,0.694444,0.583333,R,47
CONVEX,0.0,AB,60,61,0.135802,0.305556,0.611111,0.305556,AB,45
CONVEX,0.0,AB,61,62,0.090395,0.416667,0.638889,0.222222,CONVEX,97
CONVEX,0.0,AB,62,63,0.111111,0.388889,0.666667,0.277778,R,53
CONVEX,0.0,AB,63,64,0.101695,0.388889,0.638889,0.25,AB,66
CONVEX,0.0,AB,64,65,0.071795,0.472222,0.666667,0.194444,R,59
CONVEX,0.0,AB,65,66,0.1,0.388889,0.638889,0.25,AB,48
CONVEX,0.0,AB,66,67,0.064516,0.472222,0.638889,0.166667,R,56
CONVEX,0.0,AB,67,68,0.253333,0.166667,0.694444,0.527778,CONVEX,58
CONVEX,0.0,AB,68,69,0.175439,0.25,0.666667,0.416667,CONVEX,85
CONVEX,0.0,AB,69,70,0.158192,0.305556,0.694444,0.388889,AB,78
CONVEX,0.0,AB,70,71,0.175439,0.277778,0.694444,0.416667,AB,54
CONVEX,0.0,AB,71,72,0.090395,0.444444,0.666667,0.222222,R,116
CONVEX,0.0,AB,72,73,0.114583,0.444444,0.75,0.305556,AB,54
CONVEX,0.0,AB,73,74,0.188679,0.222222,0.638889,0.416667,CONVEX,97
CONVEX,0.0,AB,74,75,0.11828,0.388889,0.694444,0.305556,R,56
CONVEX,0.0,AB,75,76,0.160494,0.277778,0.638889,0.361111,R,95
CONVEX,0.0,AB,76,77,0.101695,0.388889,0.638889,0.25,R,71
CONVEX,0.0,AB,77,78,0.235294,0.166667,0.666667,0.5,R,68
CONVEX,0.0,AB,78,79,0.091954,0.444444,0.666667,0.222222,AB,57
CONVEX,0.0,AB,79,80,0.116402,0.388889,0.694444,0.305556,R,62
CONVEX,0.0,AB,80,81,0.154762,0.277778,0.638889,0.361111,CONVEX,85
CONVEX,0.0,AB,81,82,0.128655,0.333333,0.638889,0.305556,AB,183
CONVEX,0.0,AB,82,83,0.163522,0.25,0.611111,0.361111,R,146
CONVEX,0.0,AB,83,84,0.114943,0.361111,0.638889,0.277778,CONVEX,88
CONVEX,0.0,AB,84,85,0.185185,0.25,0.666667,0.416667,R,89
CONVEX,0.0,AB,85,86,0.222222,0.166667,0.638889,0.472222,AB,96
CONVEX,0.0,AB,86,87,0.063492,0.5,0.666667,0.166667,R,65
CONVEX,0.0,AB,87,88,0.235294,0.166667,0.666667,0.5,AB,93
CONVEX,0.0,AB,88,89,0.190476,0.277778,0.777778,0.5,AB,60
CONVEX,0.0,AB,89,90,0.245614,0.166667,0.75,0.583333,R,50
CONVEX,0.0,AB,90,91,0.234568,0.166667,0.694444,0.527778,R,95
CONVEX,0.0,AB,91,92,0.065574,0.472222,0.638889,0.166667,R,125
CONVEX,0.0,AB,92,93,0.090395,0.416667,0.638889,0.222222,R,56
CONVEX,0.0,AB,93,94,0.154762,0.305556,0.666667,0.361111,CONVEX,139
CONVEX,0.0,AB,94,95,0.057471,0.444444,0.583333,0.138889,CONVEX,154
CONVEX,0.0,AB,95,96,0.0625,0.5,0.666667,0.166667,R,47
CONVEX,0.0,AB,96,97,0.137931,0.333333,0.666667,0.333333,AB,60
CONVEX,0.0,AB,97,98,0.190476,0.277778,0.722222,0.444444,AB,72
CONVEX,0.0,AB,98,99,0.053763,0.5,0.638889,0.138889,R,104
CONVEX,0.0,AB,99,100,0.166667,0.305556,0.694444,0.388889,AB,87
CONVEX,0.0,MCTS,0,1,0.222222,0.194444,0.638889,0.444444,CONVEX,163
CONVEX,0.0,MCTS,1,2,0.179487,0.305556,0.694444,0.388889,R,182
CONVEX,0.0,MCTS,2,3,0.079096,0.416667,0.611111,0.194444,MCTS,219
CONVEX,0.0,MCTS,3,4,0.181818,0.305556,0.722222,0.416667,CONVEX,196
CONVEX,0.0,MCTS,4,5,0.253333,0.222222,0.75,0.527778,CONVEX,358
CONVEX,0.0,MCTS,5,6,0.141844,0.333333,0.611111,0.277778,R,182
CONVEX,0.0,MCTS,6,7,0.021858,0.527778,0.583333,0.055556,R,110
