seed,method,lambda,node_id,capacity_dual
1,LP,1.7777777777777777,22,0.0
1,LP,1.7777777777777777,23,0.0
1,LP,1.7777777777777777,24,0.0
1,LP,1.7777777777777777,25,0.0
1,LP,1.7777777777777777,26,0.0
1,LP,1.7777777777777777,27,0.0
1,LP,1.7777777777777777,28,0.0
1,LP,1.7777777777777777,29,0.0
1,LP,1.7777777777777777,30,0.0
1,LP,1.7777777777777777,31,0.0
1,LP,1.7777777777777777,32,0.0
1,LP,1.7777777777777777,33,0.0
1,LP,1.7777777777777777,34,0.0
1,LP,1.7777777777777777,35,0.0
1,LP,1.7777777777777777,36,0.0
1,LP,1.7777777777777777,37,0.0
1,LP,1.7777777777777777,38,0.0
1,LP,1.7777777777777777,39,0.0
1,LP,1.7777777777777777,40,0.0
1,LP,1.7777777777777777,41,0.0
1,LP,1.7777777777777777,42,0.0
1,LP,1.7777777777777777,43,0.0
1,LP,1.7777777777777777,44,0.0
1,LP,1.7777777777777777,45,0.0
1,LP,1.7777777777777777,46,0.0
1,LP,1.7777777777777777,47,0.0
1,LP,1.7777777777777777,48,0.0
1,LP,1.7777777777777777,49,0.0
1,LP,1.7777777777777777,50,0.0
1,LP,1.7777777777777777,51,0.0
1,LP,1.7777777777777777,52,0.0
1,LP,1.7777777777777777,53,0.0
1,LP,2.0,0,0.0
1,LP,2.0,1,0.0006584192588012025
1,LP,2.0,2,0.0
1,LP,2.0,3,0.0
1,LP,2.0,4,0.0
1,LP,2.0,5,0.0
1,LP,2.0,6,0.0
1,LP,2.0,7,0.0
1,LP,2.0,8,0.007193304347393905
1,LP,2.0,9,0.0
1,LP,2.0,10,0.0010774906070107324
1,LP,2.0,11,0.0
1,LP,2.0,12,0.0
1,LP,2.0,13,0.0
1,LP,2.0,14,0.0
1,LP,2.0,15,0.0
1,LP,2.0,16,0.0009729341047643443
1,LP,2.0,17,0.0
1,LP,2.0,18,0.0
1,LP,2.0,19,0.0
1,LP,2.0,20,0.0006240796093535014
1,LP,2.0,21,0.0
1,LP,2.0,22,0.0
1,LP,2.0,23,0.0
1,LP,2.0,24,0.0
1,LP,2.0,25,0.0
1,LP,2.0,26,0.0
1,LP,2.0,27,0.0
1,LP,2.0,28,0.0
1,LP,2.0,29,0.0
1,LP,2.0,30,0.0
1,LP,2.0,31,0.0
1,LP,2.0,32,0.0
1,LP,2.0,33,0.0
1,LP,2.0,34,0.0
1,LP,2.0,35,0.0
1,LP,2.0,36,0.0
1,LP,2.0,37,0.0
1,LP,2.0,38,0.0
1,LP,2.0,39,0.0
1,LP,2.0,40,0.0
1,LP,2.0,41,0.0
1,LP,2.0,42,0.0
1,LP,2.0,43,0.0
1,LP,2.0,44,0.0
1,LP,2.0,45,0.0
1,LP,2.0,46,0.0
1,LP,2.0,47,0.0
1,LP,2.0,48,0.0
1,LP,2.0,49,0.0
1,LP,2.0,50,0.0
1,LP,2.0,51,0.0
1,LP,2.0,52,0.0
1,LP,2.0,53,0.0
2,LP,0.0,0,0.0
2,LP,0.0,1,0.0
2,LP,0.0,2,0.0
2,LP,0.0,3,0.0
2,LP,0.0,4,0.0
2,LP,0.0,5,0.00025411013353474694
2,LP,0.0,6,0.0
2,LP,0.0,7,0.0
2,LP,0.0,8,0.005019255780942825
2,LP,0.0,9,0.0
2,LP,0.0,10,0.005004684435206312
2,LP,0.0,11,0.0
2,LP,0.0,12,0.0
2,LP,0.0,13,0.0
2,LP,0.0,14,0.0
2,LP,0.0,15,0.0
2,LP,0.0,16,0.0
2,LP,0.0,17,0.0
