lineup_id,lineup,game_in_lineup,global_game_id,seed,has_winner,winner_color,winner_agent,num_turns,game_duration_s,vp_std,vp_min,vp_max,vp_range,vp_gini,prod_gini_final,prod_max_min_ratio,turns_until_equalized
3,"AB,R,R",28,179,29,1,RED,AB,86,1.802591,2.867442,3,10,7,0.233333,0.294785,4.421053,-1
3,"AB,R,R",29,180,30,1,RED,AB,102,1.233607,3.771236,2,10,8,0.380952,0.446429,7.25,-1
3,"AB,R,R",30,181,31,1,RED,AB,97,2.009251,3.771236,2,10,8,0.380952,0.402402,7.090909,-1
3,"AB,R,R",31,182,32,1,RED,AB,88,0.888908,3.559026,2,10,8,0.355556,0.408408,5.857143,-1
3,"AB,R,R",32,183,33,1,RED,AB,65,0.683157,3.771236,2,10,8,0.380952,0.527778,20.0,-1
3,"AB,R,R",33,184,34,1,RED,AB,45,0.552805,3.771236,2,10,8,0.380952,0.442529,6.923077,-1
3,"AB,R,R",34,185,35,1,RED,AB,120,1.510897,3.399346,2,10,8,0.333333,0.433862,14.666667,-1
3,"AB,R,R",35,186,36,1,RED,AB,59,0.750141,3.559026,2,10,8,0.355556,0.419048,6.076923,-1
3,"AB,R,R",36,187,37,1,RED,AB,44,0.651681,3.559026,2,10,8,0.355556,0.437158,9.888889,-1
3,"AB,R,R",37,188,38,1,RED,AB,102,1.095306,3.091206,3,10,7,0.27451,0.487395,10.666667,-1
3,"AB,R,R",38,189,39,1,RED,AB,55,0.580902,3.771236,2,10,8,0.380952,0.469841,9.222222,-1
3,"AB,R,R",39,190,40,1,RED,AB,92,1.15209,3.771236,2,10,8,0.380952,0.503268,13.833333,-1
3,"AB,R,R",40,191,41,1,RED,AB,96,0.803513,3.771236,2,10,8,0.380952,0.336391,4.055556,-1
3,"AB,R,R",41,192,42,1,RED,AB,104,2.532345,3.265986,2,10,8,0.296296,0.404938,6.857143,-1
3,"AB,R,R",42,193,43,1,RED,AB,91,0.599954,3.771236,2,10,8,0.380952,0.563218,25.5,-1
3,"AB,R,R",43,194,44,1,RED,AB,119,1.929951,3.299832,3,10,7,0.291667,0.434524,7.636364,-1
3,"AB,R,R",44,195,45,1,RED,AB,66,0.978506,3.771236,2,10,8,0.380952,0.448276,9.666667,-1
3,"AB,R,R",45,196,46,1,RED,AB,94,0.694695,3.771236,2,10,8,0.380952,0.491909,11.857143,-1
3,"AB,R,R",46,197,47,1,RED,AB,80,0.946924,3.771236,2,10,8,0.380952,0.533333,29.0,-1
3,"AB,R,R",47,198,48,1,RED,AB,54,0.708502,3.771236,2,10,8,0.380952,0.512821,12.428571,-1
3,"AB,R,R",48,199,49,1,RED,AB,94,1.711348,3.399346,2,10,8,0.333333,0.501529,17.4,-1
3,"AB,R,R",49,200,50,1,RED,AB,63,0.970028,3.559026,2,10,8,0.355556,0.366667,5.714286,-1
4,"VALUE,R,R",0,201,1,1,RED,VALUE,94,0.095951,3.771236,3,11,8,0.313725,0.438596,8.5,-1
4,"VALUE,R,R",1,202,2,1,RED,VALUE,91,0.090263,3.771236,2,10,8,0.380952,0.490909,12.571429,-1
4,"VALUE,R,R",2,203,3,1,RED,VALUE,70,0.060743,3.559026,2,10,8,0.355556,0.463768,9.888889,-1
4,"VALUE,R,R",3,204,4,1,RED,VALUE,103,0.110045,3.771236,2,10,8,0.380952,0.450794,8.888889,-1
4,"VALUE,R,R",4,205,5,1,RED,VALUE,93,0.133851,3.771236,2,10,8,0.380952,0.488889,23.0,-1
4,"VALUE,R,R",5,206,6,1,RED,VALUE,68,0.116448,3.399346,2,10,8,0.333333,0.462046,11.0,-1
4,"VALUE,R,R",6,207,7,1,RED,VALUE,68,0.072333,3.559026,2,10,8,0.355556,0.353982,6.0,-1
4,"VALUE,R,R",7,208,8,1,RED,VALUE,142,0.163799,3.771236,2,10,8,0.380952,0.591065,29.666667,-1
4,"VALUE,R,R",8,209,9,1,RED,VALUE,69,0.100633,3.299832,2,10,8,0.313725,0.346667,5.727273,-1
4,"VALUE,R,R",9,210,10,1,RED,VALUE,98,0.125582,3.559026,2,10,8,0.355556,0.450142,7.583333,-1
4,"VALUE,R,R",10,211,11,1,RED,VALUE,90,0.118915,3.559026,2,10,8,0.355556,0.469136,8.6,-1
4,"VALUE,R,R",11,212,12,1,RED,VALUE,57,0.066163,4.027682,2,11,9,0.375,0.479339,18.4,-1
4,"VALUE,R,R",12,213,13,1,RED,VALUE,99,0.138611,2.94392,3,10,7,0.259259,0.48,12.25,-1
4,"VALUE,R,R",13,214,14,1,RED,VALUE,85,0.099531,3.771236,2,10,8,0.380952,0.517799,12.428571,-1
4,"VALUE,R,R",14,215,15,1,RED,VALUE,64,0.121401,3.559026,2,10,8,0.355556,0.377581,5.266667,-1
4,"VALUE,R,R",15,216,16,1,RED,VALUE,81,0.091063,3.771236,2,10,8,0.380952,0.53211,22.75,-1
4,"VALUE,R,R",16,217,17,1,RED,VALUE,66,0.053606,3.771236,2,10,8,0.380952,0.412979,6.0,-1
4,"VALUE,R,R",17,218,18,1,RED,VALUE,133,0.14536,1.414214,7,10,3,0.083333,0.204793,2.342857,-1
4,"VALUE,R,R",18,219,19,1,RED,VALUE,110,0.12809,3.265986,2,10,8,0.296296,0.428135,7.363636,-1
