lambda,selfish_agent,game_idx,seed,vp_gini,vp_min,vp_max,vp_range,winner_agent,num_turns
0.222222,MCTS,2,3,0.222222,4,10,6,MCTS,246
0.222222,MCTS,3,4,0.380952,2,10,8,R,296
0.222222,MCTS,4,5,0.210526,4,10,6,CONVEX,379
0.222222,VALUE,0,1,0.355556,2,10,8,R,71
0.222222,VALUE,1,2,0.355556,2,10,8,R,95
0.222222,VALUE,2,3,0.333333,2,10,8,R,92
0.222222,VALUE,3,4,0.355556,2,10,8,VALUE,60
0.222222,VALUE,4,5,0.313725,2,10,8,CONVEX,91
0.222222,WR,0,1,0.151515,5,10,5,CONVEX,205
0.222222,WR,1,2,0.173913,4,10,6,R,689
0.222222,WR,2,3,0.190476,4,10,6,WR,738
0.222222,WR,3,4,0.315789,2,11,9,R,281
0.222222,WR,4,5,0.333333,2,10,8,R,260
0.444444,GREEDY,0,1,0.333333,2,10,8,R,98
0.444444,GREEDY,1,2,0.222222,4,10,6,R,221
0.444444,GREEDY,2,3,0.333333,2,10,8,GREEDY,357
0.444444,GREEDY,3,4,0.289855,2,12,10,CONVEX,178
0.444444,GREEDY,4,5,0.333333,2,10,8,R,296
0.444444,AB,0,1,0.333333,2,10,8,R,56
0.444444,AB,1,2,0.355556,2,10,8,R,83
0.444444,AB,2,3,0.355556,2,10,8,R,71
0.444444,AB,3,4,0.355556,2,10,8,AB,111
0.444444,AB,4,5,0.259259,3,10,7,CONVEX,118
0.444444,MCTS,0,1,0.259259,3,10,7,R,173
0.444444,MCTS,1,2,0.296296,2,10,8,R,203
0.444444,MCTS,2,3,0.190476,4,10,6,MCTS,369
0.444444,MCTS,3,4,0.333333,2,10,8,MCTS,381
0.444444,MCTS,4,5,0.210526,4,10,6,CONVEX,700
0.444444,VALUE,0,1,0.291667,3,10,7,R,68
0.444444,VALUE,1,2,0.333333,2,10,8,R,98
0.444444,VALUE,2,3,0.333333,2,11,9,R,98
0.444444,VALUE,3,4,0.210526,4,10,6,VALUE,135
0.444444,VALUE,4,5,0.333333,2,10,8,CONVEX,76
0.444444,WR,0,1,0.210526,4,10,6,R,311
0.444444,WR,1,2,0.27451,3,10,7,CONVEX,103
0.444444,WR,2,3,0.333333,2,10,8,WR,366
0.444444,WR,3,4,0.333333,2,10,8,WR,114
0.444444,WR,4,5,0.333333,2,10,8,R,260
0.666667,GREEDY,0,1,0.190476,4,10,6,R,113
0.666667,GREEDY,1,2,0.15873,5,10,5,GREEDY,432
0.666667,GREEDY,2,3,0.333333,2,10,8,GREEDY,357
0.666667,GREEDY,3,4,0.380952,2,10,8,R,167
0.666667,GREEDY,4,5,0.333333,2,10,8,R,296
0.666667,AB,0,1,0.27451,3,10,7,R,74
0.666667,AB,1,2,0.380952,2,10,8,R,77
0.666667,AB,2,3,0.380952,2,10,8,R,71
0.666667,AB,3,4,0.380952,2,10,8,AB,81
0.666667,AB,4,5,0.259259,3,10,7,CONVEX,178
0.666667,MCTS,0,1,0.253968,2,10,8,MCTS,426
0.666667,MCTS,1,2,0.296296,2,10,8,R,461
0.666667,MCTS,2,3,0.355556,2,10,8,R,125
0.666667,MCTS,3,4,0.190476,4,10,6,CONVEX,256
0.666667,MCTS,4,5,0.210526,4,10,6,CONVEX,700
0.666667,VALUE,0,1,0.355556,2,10,8,R,71
0.666667,VALUE,1,2,0.380952,2,10,8,R,104
